,ID,Brand,Name,Colorway,Silhouette,Retail Price,Estimated Market Value,Gender,Release Date,SKU,StockX Link,GOAT Link,Image
462,5209c8c8-ecfc-4340-bf93-0046249c6cb3,puma,X-Ray Speed 'Black White Flame Flicker',warm white/black/flame flicker,x-ray,90,142,men,10/20/2024,384638-68,,https://goat.com/sneakers/x-ray-speed-black-white-flame-flicker-384638-68,https://image.goat.com/attachments/product_template_pictures/images/105/035/721/original/384638_68.png.png
463,58a42bc4-d6e0-4d2a-b974-d60a5b4398e4,puma,Neutron 'Loden Green',loden green/black,neutron,80,136,men,10/20/2024,310169-06,,https://goat.com/sneakers/neutron-loden-green-310169-06,https://image.goat.com/attachments/product_template_pictures/images/105/011/961/original/310169_06.png.png
464,5a0457d2-a205-4d47-b1df-ad381efe111e,puma,Future Play 7 FG AG 'Lights Out Pack',grey skies/elektro purple/fizzy apple/white,future play,60,54,men,10/20/2024,107939-03,,https://goat.com/sneakers/future-play-7-fg-ag-lights-out-pack-107939-03,https://image.goat.com/attachments/product_template_pictures/images/105/011/940/original/107939_03.png.png
465,5c960cea-a65b-421a-a2ad-b59c6183091a,puma,Future Match 7 FG AG Big Kid 'Lights Out Pack',grey skies/white/fizzy apple,future match,75,85,youth,10/20/2024,107945-03,,https://goat.com/sneakers/future-match-7-fg-ag-big-kid-lights-out-pack-107945-03,https://image.goat.com/attachments/product_template_pictures/images/105/011/944/original/107945_03.png.png
466,5f9c6aa2-719d-4c27-bcba-01f587d73797,puma,Wmns Future Ultimate 7 FG AG 'Lights Out Pack',grey skies/white/fizzy apple,future ultimate,240,364,women,10/20/2024,107917-03,,https://goat.com/sneakers/wmns-future-ultimate-7-fg-ag-lights-out-pack-107917-03,https://image.goat.com/attachments/product_template_pictures/images/105/011/937/original/107917_03.png.png
467,607a620f-8c7b-40ba-911f-486331246883,puma,Ultra Pro 5 FG AG 'Lights Out Pack',fizzy apple/white/bluemazing,puma ultra pro,140,141,men,10/20/2024,107685-03,,https://goat.com/sneakers/ultra-pro-5-fg-ag-lights-out-pack-107685-03,https://image.goat.com/attachments/product_template_pictures/images/105/011/929/original/107685_03.png.png
468,620aeda6-8038-453d-a5f8-81dbd9187466,puma,Future Play 7 IT 'Lights Out Pack',grey skies/elektro purple/fizzy apple/white,future play,60,70,men,10/20/2024,107942-03,,https://goat.com/sneakers/future-play-7-it-lights-out-pack-107942-03,https://image.goat.com/attachments/product_template_pictures/images/105/011/941/original/107942_03.png.png
469,62ba32d5-2e69-4a57-a15f-6360548a204d,puma,Scuderia Ferrari x Velophasis 'Neon Energy Pack - Sun Stream',sun stream,velophasis,130,144,men,10/20/2024,308469-02,,https://goat.com/sneakers/scuderia-ferrari-x-velophasis-neon-energy-pack-sun-stream-308469-02,https://image.goat.com/attachments/product_template_pictures/images/105/011/955/original/308469_02.png.png
470,62f12b18-72ec-486f-b9b2-d0109efc5a63,puma,Scuderia Ferrari x Velophasis 'Neon Energy Pack - Black',black,velophasis,130,136,men,10/20/2024,308469-01,,https://goat.com/sneakers/scuderia-ferrari-x-velophasis-neon-energy-pack-black-308469-01,https://image.goat.com/attachments/product_template_pictures/images/105/011/954/original/308469_01.png.png
471,63499c72-be6d-4521-98a0-6196b9620143,puma,Dribble Mid 'Black For All Time Red',white/for all time red/black,dribble,70,130,men,10/20/2024,400980-05,,https://goat.com/sneakers/dribble-mid-black-for-all-time-red-400980-05,https://image.goat.com/attachments/product_template_pictures/images/105/011/982/original/400980_05.png.png
472,66cf0cdd-6815-4a1e-8655-95ae98faa3b0,puma,Future Play 7 FG AG Big Kid 'Lights Out Pack',grey skies/elektro purple/fizzy apple/white,future play,55,66,youth,10/20/2024,107949-03,,https://goat.com/sneakers/future-play-7-fg-ag-big-kid-lights-out-pack-107949-03,https://image.goat.com/attachments/product_template_pictures/images/105/011/945/original/107949_03.png.png
473,6c10557f-452e-49ab-b73e-b3f97694abb3,puma,Dribble Mid 'White Smokey Grey',white/smokey grey,dribble,70,121,men,10/20/2024,400980-04,,https://goat.com/sneakers/dribble-mid-white-smokey-grey-400980-04,https://image.goat.com/attachments/product_template_pictures/images/105/011/981/original/400980_04.png.png
474,7206bf87-4c97-43f7-a0e8-6b63a1db3e09,puma,Cool Cat 2.0 Slide 'New Navy',new navy/aquatic,cool cat slides,38,102,men,10/20/2024,389111-09,,https://goat.com/sneakers/cool-cat-2-0-slide-new-navy-389111-09,https://image.goat.com/attachments/product_template_pictures/images/105/011/964/original/389111_09.png.png
475,733e4b0e-3ec2-4b6c-b44f-e092aa0239a1,puma,Future Play 7 TF 'Lights Out Pack',grey skies/elektro purple/fizzy apple/white,future play,60,53,men,10/20/2024,107943-03,,https://goat.com/sneakers/future-play-7-tf-lights-out-pack-107943-03,https://image.goat.com/attachments/product_template_pictures/images/105/011/942/original/107943_03.png.png
